# ID  SDSS_NAME                RA            DEC          OIII_5007_FLUX H_BETA_FLUX NII_6584_FLUX H_ALPHA_FLUX OIII_Hbeta NII_Halpha 
  1   SDSS_J033355.94-001530.2 53.4831       -0.25839934  164.1306       30.912266   102.66211     114.50883    5.309562   0.8965432  
  2   SDSS_J010730.48+141221.7 16.877012     14.206061    107.47293      44.769157   132.5542      172.68938    2.400602   0.7675875  
  3   SDSS_J151806.13+424445.0 229.525575754 42.745853761 994.0776       1166.7118   4143.2925     8096.605     0.85203356 0.5117321  
  4   SDSS_J033437.45+002419.3 53.656048     0.4053838    23.09568       30.456774   28.835886     120.51385    0.75831014 0.23927446 
  5   SDSS_J015616.50+144141.5 29.068716     14.694918    75.98611       151.35889   156.71399     547.63605    0.5020261  0.2861645  
  6   SDSS_J023014.02-081114.4 37.5584       -8.187359    48.304985      32.188362   115.384865    129.69699    1.5006973  0.8896495  
  7   SDSS_J000033.77+151102.0 0.14075013    15.183925    83.87299       54.194748   31.803131     175.25182    1.5476222  0.18147105 
  8   SDSS_J033213.20+001546.7 53.055042     0.2629581    147.30008      52.55818    557.5114      501.89618    2.80261    1.1108103  
  9   SDSS_J000149.09-101314.5 0.45457342    -10.2207     34.438747      45.75706    44.503025     169.4995     0.75264335 0.2625555  
  10  SDSS_J015656.63-085350.8 29.235968     -8.897464    155.97792      27.135801   91.734024     124.685      5.7480493  0.73572624 
  11  SDSS_J004123.78+152110.5 10.349067     15.352971    65.89234       124.57469   136.344       443.261      0.5289384  0.30759305 
  12  SDSS_J021259.77-093902.0 33.24908      -9.650567    54.171364      130.05997   176.37895     506.08154    0.41651067 0.34851885 
  13  SDSS_J021112.46-004933.3 32.802532     -0.82586586  8.400914       13.805727   26.803669     56.58422     0.60850936 0.4736951  
  14  SDSS_J075943.86+422241.0 119.93278     42.37806     70.9665        56.304527   37.925262     209.92525    1.2604048  0.1806608  
  15  SDSS_J072847.38+382236.6 112.19744     38.37684     40.546753      71.046104   95.244095     346.57098    0.5707104  0.27481842 
  16  SDSS_J074054.00+342234.4 115.22502     34.37622     1281.958       147.7447    419.52405     596.512      8.676846   0.70329523 
  17  SDSS_J075736.13+130122.7 119.40057     13.022983    88.41275       58.36004    27.568174     196.66638    1.5149536  0.14017735 
  18  SDSS_J072227.45+422832.9 110.61438     42.475826    62.794968      33.18421    79.81472      157.8296     1.8923146  0.50570184 
  19  SDSS_J073011.88+393707.2 112.54955     39.618675    27.446512      63.430706   70.84754      222.61375    0.43270072 0.31825322 
  20  SDSS_J074259.01+194431.1 115.74589     19.741983    252.15233      35.95666    148.25749     135.91348    7.0126734  1.0908226  
  21  SDSS_J082925.47+140733.1 127.35618     14.125883    103.66946      87.22019    55.92245      290.89468    1.1885947  0.19224295 
  22  SDSS_J081532.39+032856.5 123.88497     3.4823573    112.16669      129.81564   110.111786    477.20975    0.864046   0.23074086 
  23  SDSS_J082900.57+311533.6 127.25234     31.259382    208.61705      35.993736   158.9534      177.24316    5.7959266  0.89680976 
  24  SDSS_J080214.80+365424.2 120.56169     36.906746    67.50491       92.005226   80.89571      330.42267    0.73370737 0.24482495 
  25  SDSS_J085828.89+270939.1 134.6204      27.160868    117.18722      33.055393   107.51888     178.91138    3.545177   0.6009617  
  26  SDSS_J085103.17+513745.6 132.76324     51.629345    125.34069      175.22331   247.12169     832.01434    0.7153197  0.29701614 
  27  SDSS_J090251.78+191219.5 135.71579     19.205421    23.548018      45.014015   43.55884      150.90462    0.52312636 0.2886515  
  28  SDSS_J085043.89+291147.1 132.6829      29.196453    81.311424      30.595253   112.33447     136.27794    2.6576483  0.82430416 
  29  SDSS_J090930.72+275600.0 137.37804     27.933367    96.01213       190.63354   315.72556     963.9815     0.5036476  0.32752243 
  30  SDSS_J083751.16+572659.3 129.4632      57.449814    56.265484      67.780396   232.025       448.3711     0.8301144  0.5174843  
  31  SDSS_J095617.82+614810.6 149.07428     61.80295     34.71129       134.84213   238.17657     649.86584    0.25742167 0.36650115 
  32  SDSS_J101356.24+074545.8 153.48438     7.7627525    47.3394        54.890152   197.04869     296.55618    0.86243886 0.66445655 
  33  SDSS_J092808.16+662250.5 142.034       66.38072     75.34402       57.027485   156.4491      232.89827    1.3211879  0.67174864 
  34  SDSS_J101838.57+133216.9 154.66074     13.538049    26.911766      69.0926     102.75992     318.64557    0.38950288 0.3224897  
  35  SDSS_J092108.07+595223.8 140.28362     59.873283    88.72807       51.66027    143.37578     265.40897    1.7175301  0.54020697 
  36  SDSS_J092846.84+234253.2 142.1952      23.714796    58.8714        98.947945   164.29634     472.42667    0.59497344 0.3477711  
  37  SDSS_J101751.70+334507.7 154.46542     33.752144    49.786022      106.79928   126.36476     395.49503    0.4661644  0.31951037 
  38  SDSS_J101334.40+473129.8 153.39333     47.524956    200.56303      45.553123   112.0046      173.4493     4.402838   0.6457484  
  39  SDSS_J095044.41+343441.1 147.68504     34.578083    46.012703      60.51905    61.7452       241.83319    0.7603011  0.25532144 
  40  SDSS_J101501.98+512938.9 153.75824     51.494152    115.85955      130.88646   266.55457     609.611      0.88519126 0.4372535  
  41  SDSS_J111349.82+413735.7 168.4576      41.62658     27.099966      31.445467   18.37213      100.93488    0.86180836 0.18201962 
  42  SDSS_J113001.97+563250.5 172.50822     56.547382    116.795296     24.567806   94.09455      150.94125    4.753998   0.62338525 
  43  SDSS_J112827.02+103226.9 172.11263     10.540812    71.65888       77.7538     55.04691      260.77255    0.9216126  0.21109165 
  44  SDSS_J110958.18+601355.6 167.49245     60.232143    125.48409      29.354708   74.18663      108.5809     4.274752   0.68323827 
  45  SDSS_J105638.83+141930.4 164.16183     14.325139    592.2783       127.855965  1502.7228     980.9296     4.632387   1.5319374  
  46  SDSS_J104002.99+410417.6 160.0125      41.07157     171.50578      70.779335   21.811356     235.94818    2.4231052  0.0924413  
  47  SDSS_J113549.08+565708.2 173.95448     56.952286    4763.0186      769.79083   3810.926      4237.9185    6.187419   0.8992448  
  48  SDSS_J104511.54+242144.3 161.29811     24.362349    86.053566      167.32797   289.92847     804.35516    0.5142808  0.36044833 
  49  SDSS_J112019.37+411036.9 170.08073     41.17693     89.454346      32.015804   108.97233     153.38661    2.7940683  0.71044225 
  50  SDSS_J111307.24+320123.3 168.2802      32.02315     33.768993      33.665833   69.324104     161.16557    1.0030643  0.43014213 
  51  SDSS_J123507.41+003717.9 188.7809      0.6216753    118.96479      32.810986   136.72522     135.56702    3.625761   1.0085434  
  52  SDSS_J121859.99+190647.8 184.74998     19.113302    335.5612       137.71268   54.224068     500.69803    2.436676   0.108296946
  53  SDSS_J120257.40+520846.7 180.7392      52.146324    59.254116      95.38217    169.72058     459.88913    0.6212284  0.36904675 
  54  SDSS_J122841.89+113816.7 187.17458     11.63798     25.382198      114.393776  173.80653     461.8476     0.22188443 0.37632877 
  55  SDSS_J120712.57+165809.6 181.80241     16.969357    156.2766       41.259785   146.341       150.61755    3.787625   0.97160655 
  56  SDSS_J122202.96+440654.5 185.51236     44.11517     390.33386      40.60211    146.40102     187.66463    9.613634   0.7801205  
  57  SDSS_J121851.32+063051.2 184.71388     6.5142393    43.46769       105.94201   208.3446      515.09314    0.410297   0.40447947 
  58  SDSS_J145421.99+224412.9 223.59164     22.736929    34.52159       31.73018    30.325195     133.66908    1.0879734  0.22686769 
  59  SDSS_J121003.95+261359.8 182.51645     26.233282    165.25986      122.81829   99.369965     404.0138     1.3455639  0.24595687 
  60  SDSS_J121833.27+275621.6 184.63866     27.939354    73.66642       76.40469    128.22685     264.54276    0.9641609  0.48471126 
  61  SDSS_J125512.02+083536.1 193.80013     8.593367     618.55524      66.708954   274.06815     227.33226    9.272447   1.205584   
  62  SDSS_J124316.61+050427.8 190.81927     5.0743785    158.08728      93.10627    92.4151       449.96497    1.6979231  0.20538288 
  63  SDSS_J124440.19+155330.1 191.16747     15.891703    249.39558      46.05689    174.02635     179.37802    5.4149466  0.97016543 
  64  SDSS_J130032.23+083118.0 195.13432     8.521685     243.83344      127.88095   45.8442       359.78613    1.9067221  0.1274207  
  65  SDSS_J125446.39+352417.8 193.6933      35.40496     83.202         34.936478   167.05768     174.80556    2.3815224  0.95567715 
  66  SDSS_J131103.97+083326.0 197.76657     8.557261     37.19278       138.64732   207.99553     572.91327    0.26825458 0.36304888 
  67  SDSS_J125924.51+311329.7 194.85213     31.224937    43.7311        35.40224    34.534634     129.79045    1.2352636  0.26607993 
  68  SDSS_J130800.47+100133.1 197.002       10.025888    287.78574      34.750946   132.73216     156.60968    8.281379   0.84753484 
  69  SDSS_J130256.40+032831.3 195.73502     3.4753735    155.93912      97.52038    48.95478      285.5288     1.5990413  0.17145303 
  70  SDSS_J124555.25+045456.4 191.48021     4.915664     54.556255      50.655945   96.61791      211.82379    1.0769961  0.45612398 
  71  SDSS_J144253.89+184436.4 220.72456     18.743465    79.750824      84.07105    68.12479      281.84427    0.94861215 0.24171074 
  72  SDSS_J135635.65+252032.3 209.14857     25.342314    59.992893      44.533615   22.986197     156.8497     1.3471373  0.1465492  
  73  SDSS_J134128.09-011059.9 205.36708     -1.1833053   115.73807      35.098946   100.779755    130.83017    3.2974799  0.77030975 
  74  SDSS_J133222.02+070104.5 203.0918      7.017855     19.049713      38.00989    46.966633     150.26534    0.5011778  0.312558   
  75  SDSS_J134939.36+420241.3 207.41403     42.04483     538.7823       69.29597    242.18422     260.94403    7.775089   0.9281079  
  76  SDSS_J134635.98+582234.3 206.65        58.376217    29.59631       29.375702   43.245514     137.96927    1.0075098  0.3134431  
  77  SDSS_J145917.46+593822.9 224.82278     59.63971     82.30907       68.25504    189.84085     367.30106    1.2059046  0.5168535  
  78  SDSS_J134133.34+010037.2 205.38893     1.0103532    20.909101      25.440609   94.26557      173.0356     0.82187897 0.5447756  
  79  SDSS_J135127.81+050915.1 207.86592     5.154213     78.24588       39.38125    295.17795     281.959      1.9868816  1.0468825  
  80  SDSS_J132615.76+623628.2 201.56572     62.60786     178.79704      114.66258   56.514454     364.5285     1.5593321  0.1550344  
  81  SDSS_J142502.75+293651.6 216.2615      29.614367    27.867113      101.17192   133.54567     408.0274     0.27544317 0.32729584 
  82  SDSS_J142818.06+633400.3 217.07529     63.566795    84.82684       37.149975   246.6569      250.06241    2.2833622  0.9863814  
  83  SDSS_J142931.81+600221.0 217.38255     60.039177    87.16553       277.77005   488.5914      1229.1326    0.31380463 0.39750913 
  84  SDSS_J140302.12+455922.6 210.75887     45.98962     366.768        297.55878   293.95264     1074.9404    1.2325901  0.27345946 
  85  SDSS_J142736.60+150616.8 216.90256     15.104689    49.85692       17.353132   46.525272     70.40491     2.8730788  0.6608243  
  86  SDSS_J142221.73+284320.7 215.59058     28.722439    64.97077       81.734116   84.83767      279.39078    0.79490393 0.30365238 
  87  SDSS_J143124.50+104140.6 217.85213     10.694623    1732.7257      485.8136    1070.8892     1909.0085    3.5666473  0.56096613 
  88  SDSS_J142333.45+083611.6 215.8894      8.603258     113.07951      181.20947   240.7537      706.3409     0.6240265  0.34084633 
  89  SDSS_J143612.41+230046.1 219.05174     23.012817    78.3297        58.238575   37.56872      220.84653    1.3449796  0.17011236 
  90  SDSS_J140809.96+244826.9 212.04153     24.807484    81.51865       42.50927    146.07072     176.03177    1.9176675  0.8297975  
  91  SDSS_J140812.72+171010.5 212.05302     17.169588    39.20219       41.196136   108.90886     201.07768    0.9515987  0.5416258  
  92  SDSS_J144007.71+154604.7 220.03217     15.767989    144.73135      80.34371    56.000423     323.25793    1.8014023  0.17323758 
  93  SDSS_J144429.54+262757.1 221.1231      26.465883    280.72272      58.01972    229.1121      271.52826    4.838402   0.8437873  
  94  SDSS_J150911.27+273652.7 227.29697     27.614653    23.407045      33.36184    65.57041      130.10542    0.70161134 0.5039791  
  95  SDSS_J151939.82+171020.4 229.91595     17.172337    82.84341       91.32159    343.5801      526.7338     0.9071613  0.65228415 
  96  SDSS_J144714.80+382445.1 221.81169     38.412556    62.362602      75.26033    143.67514     300.41052    0.82862514 0.47826266 
  97  SDSS_J150659.46+395925.9 226.74779     39.990536    39.92649       33.57499    20.330349     123.87061    1.1891736  0.16412568 
  98  SDSS_J144205.47+145115.7 220.52281     14.854374    113.67662      118.83808   94.61581      454.36588    0.9565673  0.20823704 
  99  SDSS_J150834.15+030027.0 227.1423      3.007524     124.879196     52.14171    269.50775     294.5496     2.3949962  0.9149826  
  100 SDSS_J151801.67+200949.0 229.50697     20.163616    343.394        112.88962   293.06628     511.66055    3.0418565  0.5727748  
